Device ID,Timestamp,Status
1,2023-07-18 13:33:39.470094,0
2,2023-07-18 13:33:40.513553,0
3,2023-07-18 13:33:40.716832,1
1,2023-07-18 13:33:56.110576,0
2,2023-07-18 13:33:59.020608,0
3,2023-07-18 13:33:59.114228,1
1,2023-07-18 14:29:30.627100,0
2,2023-07-18 14:29:32.017649,0
3,2023-07-18 14:29:32.221860,1
1,2023-07-18 14:36:52.410971,0
2,2023-07-18 14:36:53.515391,0
3,2023-07-18 14:36:53.566674,1
4,2023-07-18 14:36:53.661872,1
5,2023-07-18 14:36:53.676328,1
1,2023-07-18 14:41:57.692450,0
3,2023-07-18 14:41:57.703823,1
4,2023-07-18 14:41:57.717431,1
5,2023-07-18 14:41:57.752024,1
1,2023-07-18 14:47:01.761608,0
3,2023-07-18 14:47:01.824168,1
4,2023-07-18 14:47:01.839649,1
5,2023-07-18 14:47:01.932920,1
1,2023-07-18 14:48:04.437072,0
3,2023-07-18 14:48:04.446065,1
4,2023-07-18 14:48:04.457017,1
5,2023-07-18 14:48:04.494284,1
1,2023-07-18 15:33:23.703055,0
3,2023-07-18 15:33:23.807057,1
4,2023-07-18 15:33:24.017313,1
5,2023-07-18 15:33:24.125967,1
1,2023-07-18 15:38:28.134140,0
3,2023-07-18 15:38:28.249834,1
4,2023-07-18 15:38:28.661922,1
5,2023-07-18 15:38:28.674050,1
1,2023-07-18 15:43:32.685419,0
3,2023-07-18 15:43:32.779041,1
4,2023-07-18 15:43:33.077339,1
5,2023-07-18 15:43:33.092725,1
1,2023-07-18 15:48:37.111691,0
3,2023-07-18 15:48:37.205234,1
4,2023-07-18 15:48:37.408610,1
5,2023-07-18 15:48:37.423963,1
1,2023-07-18 15:53:41.438719,0
3,2023-07-18 15:53:41.538649,1
4,2023-07-18 15:53:41.645533,1
5,2023-07-18 15:53:41.661488,1
